Genes	biological_process	cellular_component	molecular_function	kegg_pathway
EIF4E	NA	GO:0005737(cytoplasm)	GO:0003743(translation initiation factor activity)	ko04066(HIF-1 signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04150(mTOR signaling pathway);ko03013(RNA transport);ko04211(Longevity regulating pathway - mammal);ko04910(Insulin signaling pathway)
EIF4E1A	NA	GO:0005737(cytoplasm)	GO:0003743(translation initiation factor activity)	ko04066(HIF-1 signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04150(mTOR signaling pathway);ko03013(RNA transport);ko04211(Longevity regulating pathway - mammal);ko04910(Insulin signaling pathway)
EIF4E2	NA	GO:0005737(cytoplasm)	GO:0003743(translation initiation factor activity)	ko04066(HIF-1 signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04150(mTOR signaling pathway);ko03013(RNA transport);ko04211(Longevity regulating pathway - mammal);ko04910(Insulin signaling pathway)
EIF4EBP2	GO:0045947(negative regulation of translational initiation)	NA	GO:0008190(eukaryotic initiation factor 4E binding);GO:0003743(translation initiation factor activity)	ko03013(RNA transport);ko04213(Longevity regulating pathway - multiple species)
EIF4EBP3L	GO:0045947(negative regulation of translational initiation)	NA	GO:0008190(eukaryotic initiation factor 4E binding)	ko03013(RNA transport)
EIF5	NA	NA	GO:0003743(translation initiation factor activity)	ko04214(Apoptosis - fly);ko03013(RNA transport)
EIF6	GO:0042256(mature ribosome assembly);GO:0042273(ribosomal large subunit biogenesis)	GO:0005737(cytoplasm);GO:0005730(nucleolus)	GO:0043023(ribosomal large subunit binding);GO:0043022(ribosome binding);GO:0003743(translation initiation factor activity)	ko03008(Ribosome biogenesis in eukaryotes)
ELAVL1	NA	GO:1990904(ribonucleoprotein complex)	GO:0003723(RNA binding)	ko04152(AMPK signaling pathway);ko04657(IL-17 signaling pathway)
ELOB	GO:0006368(transcription elongation from RNA polymerase II promoter)	GO:0070449(elongin complex);GO:0030891(VCB complex)	NA	ko04066(HIF-1 signaling pathway);ko04120(Ubiquitin mediated proteolysis)
ELOC	GO:0006511(ubiquitin-dependent protein catabolic process)	NA	NA	ko04066(HIF-1 signaling pathway);ko04120(Ubiquitin mediated proteolysis)
ENDOG	NA	NA	GO:0004519(endonuclease activity);GO:0046872(metal ion binding);GO:0003676(nucleic acid binding)	ko04210(Apoptosis)
ENO3	GO:0006096(glycolytic process)	GO:0000015(phosphopyruvate hydratase complex)	GO:0000287(magnesium ion binding);GO:0004634(phosphopyruvate hydratase activity)	ko04066(HIF-1 signaling pathway);ko03018(RNA degradation);ko00010(Glycolysis / Gluconeogenesis);ko00680(Methane metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
ENOPH1	GO:0019509(L-methionine salvage from methylthioadenosine);GO:0019284(L-methionine salvage from S-adenosylmethionine)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0043715(2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity);GO:0043716(2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity);GO:0043874(acireductone synthase activity);GO:0000287(magnesium ion binding)	ko00270(Cysteine and methionine metabolism)
ENOSF1	GO:0016052(carbohydrate catabolic process);GO:0009063(cellular amino acid catabolic process)	NA	GO:0050023(L-fuconate dehydratase activity)	ko00051(Fructose and mannose metabolism)
ENPP2	GO:0006935(chemotaxis);GO:0006955(immune response);GO:0045765(regulation of angiogenesis);GO:0030334(regulation of cell migration)	NA	GO:0004622(lysophospholipase activity);GO:0046872(metal ion binding);GO:0003676(nucleic acid binding);GO:0004551(nucleotide diphosphatase activity);GO:0004528(phosphodiesterase I activity);GO:0030247(polysaccharide binding);GO:0005044(scavenger receptor activity)	ko00565(Ether lipid metabolism)
EPHX1	GO:0019439(aromatic compound catabolic process)	GO:0005789(endoplasmic reticulum membrane)	GO:0033961(cis-stilbene-oxide hydrolase activity)	ko00980(Metabolism of xenobiotics by cytochrome P450);ko04976(Bile secretion)
EPHX2	GO:0002244(hematopoietic progenitor cell differentiation);GO:0060841(venous blood vessel development)	NA	GO:0004301(epoxide hydrolase activity)	ko04146(Peroxisome);ko00590(Arachidonic acid metabolism);ko00625(Chloroalkane and chloroalkene degradation)
EPRS	GO:0006424(glutamyl-tRNA aminoacylation);GO:0006433(prolyl-tRNA aminoacylation)	GO:0005737(cytoplasm)	GO:0005524(ATP binding);GO:0004818(glutamate-tRNA ligase activity);GO:0004827(proline-tRNA ligase activity)	ko00970(Aminoacyl-tRNA biosynthesis);ko00860(Porphyrin and chlorophyll metabolism)
ESD	GO:0046294(formaldehyde catabolic process)	GO:0005737(cytoplasm)	GO:0052689(carboxylic ester hydrolase activity);GO:0018738(S-formylglutathione hydrolase activity)	ko00680(Methane metabolism);ko01200(Carbon metabolism)
ETF1	NA	NA	GO:0003747(translation release factor activity)	ko03015(mRNA surveillance pathway)
EXOC2	GO:0006887(exocytosis);GO:0006893(Golgi to plasma membrane transport);GO:0015031(protein transport)	GO:0000145(exocyst)	NA	ko04014(Ras signaling pathway)
EXOSC2	NA	GO:0000178(exosome (RNase complex))	GO:0003723(RNA binding)	ko03018(RNA degradation)
EXOSC3	NA	GO:0000178(exosome (RNase complex))	GO:0003723(RNA binding)	ko03018(RNA degradation)
F10	GO:0007596(blood coagulation)	GO:0005576(extracellular region)	GO:0005509(calcium ion binding);GO:0004252(serine-type endopeptidase activity)	ko04610(Complement and coagulation cascades)
F11	GO:0006508(proteolysis)	GO:0005576(extracellular region)	NA	ko04610(Complement and coagulation cascades)
F2	GO:0006953(acute-phase response);GO:0007596(blood coagulation)	GO:0005576(extracellular region)	GO:0005509(calcium ion binding);GO:0004252(serine-type endopeptidase activity)	ko04810(Regulation of actin cytoskeleton);ko04080(Neuroactive ligand-receptor interaction);ko04610(Complement and coagulation cascades)
F5	NA	NA	GO:0005507(copper ion binding)	ko04610(Complement and coagulation cascades)
F7	GO:0007596(blood coagulation)	GO:0005576(extracellular region)	GO:0005509(calcium ion binding);GO:0004252(serine-type endopeptidase activity)	ko04610(Complement and coagulation cascades)
F9	GO:0007596(blood coagulation)	GO:0005576(extracellular region)	GO:0005509(calcium ion binding);GO:0004252(serine-type endopeptidase activity)	ko04610(Complement and coagulation cascades)
FABP1	NA	NA	GO:0005504(fatty acid binding)	ko04975(Fat digestion and absorption);ko03320(PPAR signaling pathway)
FABP2	NA	NA	GO:0005504(fatty acid binding)	ko04975(Fat digestion and absorption);ko03320(PPAR signaling pathway)
FABP3	GO:0043009(chordate embryonic development);GO:0001947(heart looping)	NA	GO:0008289(lipid binding)	ko03320(PPAR signaling pathway)
FAH	GO:0006559(L-phenylalanine catabolic process);GO:0006572(tyrosine catabolic process)	NA	GO:0004334(fumarylacetoacetase activity);GO:0046872(metal ion binding)	ko00350(Tyrosine metabolism);ko00643(Styrene degradation)
FAHD1	NA	NA	GO:0003824(catalytic activity)	ko00350(Tyrosine metabolism)
FARSA	GO:0006432(phenylalanyl-tRNA aminoacylation)	GO:0005737(cytoplasm)	GO:0005524(ATP binding);GO:0004826(phenylalanine-tRNA ligase activity);GO:0000049(tRNA binding)	ko00970(Aminoacyl-tRNA biosynthesis)
FARSB	GO:0006432(phenylalanyl-tRNA aminoacylation)	GO:0005853(eukaryotic translation elongation factor 1 complex)	GO:0005524(ATP binding);GO:0000287(magnesium ion binding);GO:0004826(phenylalanine-tRNA ligase activity);GO:0003746(translation elongation factor activity)	ko00970(Aminoacyl-tRNA biosynthesis)
FAU	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)	ko03010(Ribosome)
FBP1	GO:0005975(carbohydrate metabolic process)	NA	GO:0042132(fructose 1,6-bisphosphate 1-phosphatase activity)	ko04152(AMPK signaling pathway);ko00051(Fructose and mannose metabolism);ko00010(Glycolysis / Gluconeogenesis);ko00030(Pentose phosphate pathway);ko00710(Carbon fixation in photosynthetic organisms);ko00680(Methane metabolism);ko01200(Carbon metabolism);ko04910(Insulin signaling pathway)
FBP2	GO:0005975(carbohydrate metabolic process)	NA	GO:0042132(fructose 1,6-bisphosphate 1-phosphatase activity)	ko04152(AMPK signaling pathway);ko00051(Fructose and mannose metabolism);ko00010(Glycolysis / Gluconeogenesis);ko00030(Pentose phosphate pathway);ko00710(Carbon fixation in photosynthetic organisms);ko00680(Methane metabolism);ko01200(Carbon metabolism);ko04910(Insulin signaling pathway)
FCF1	NA	GO:0032040(small-subunit processome)	NA	ko03008(Ribosome biogenesis in eukaryotes)
FDFT1	GO:0006696(ergosterol biosynthetic process)	GO:0016021(integral component of membrane)	GO:0004310(farnesyl-diphosphate farnesyltransferase activity);GO:0051996(squalene synthase activity)	ko00100(Steroid biosynthesis);ko00909(Sesquiterpenoid and triterpenoid biosynthesis)
FDPS	GO:0008299(isoprenoid biosynthetic process)	NA	GO:0016765(transferase activity, transferring alkyl or aryl (other than methyl) groups)	ko00900(Terpenoid backbone biosynthesis)
FGA	GO:0030168(platelet activation);GO:0051258(protein polymerization)	GO:0005577(fibrinogen complex)	GO:0005102(signaling receptor binding)	ko04610(Complement and coagulation cascades);ko04611(Platelet activation)
FGB	GO:0072378(blood coagulation, fibrin clot formation);GO:0030168(platelet activation);GO:0051258(protein polymerization)	GO:0005577(fibrinogen complex)	GO:0005102(signaling receptor binding)	ko04610(Complement and coagulation cascades);ko04611(Platelet activation)
FGG	GO:0072378(blood coagulation, fibrin clot formation);GO:0030168(platelet activation);GO:0051258(protein polymerization)	GO:0005577(fibrinogen complex)	GO:0005102(signaling receptor binding)	ko04610(Complement and coagulation cascades);ko04611(Platelet activation)
FH	GO:0006106(fumarate metabolic process);GO:0006099(tricarboxylic acid cycle)	GO:0045239(tricarboxylic acid cycle enzyme complex)	GO:0004333(fumarate hydratase activity)	ko00020(Citrate cycle (TCA cycle));ko00620(Pyruvate metabolism);ko00720(Carbon fixation pathways in prokaryotes);ko01200(Carbon metabolism)
FHL1	GO:0055074(calcium ion homeostasis);GO:0031018(endocrine pancreas development);GO:0001889(liver development);GO:0007626(locomotory behavior);GO:1990798(pancreas regeneration)	NA	GO:0046872(metal ion binding)	ko04630(Jak-STAT signaling pathway)
FIS1	GO:0000266(mitochondrial fission);GO:0055088(lipid homeostasis)	GO:0016021(integral component of membrane);GO:0005741(mitochondrial outer membrane)	NA	ko04137(Mitophagy - animal);ko04139(Mitophagy - yeast)
FKBP4	NA	NA	GO:0005528(FK506 binding);GO:0031072(heat shock protein binding);GO:0003755(peptidyl-prolyl cis-trans isomerase activity)	ko04915(Estrogen signaling pathway)
FKBP5	NA	NA	GO:0005528(FK506 binding);GO:0031072(heat shock protein binding);GO:0003755(peptidyl-prolyl cis-trans isomerase activity)	ko04915(Estrogen signaling pathway)
FKTN	GO:0048747(muscle fiber development);GO:0060049(regulation of protein glycosylation);GO:0001570(vasculogenesis)	GO:0016021(integral component of membrane)	NA	ko00515(Mannose type O-glycan biosyntheis)
FLAD1	GO:0006747(FAD biosynthetic process)	NA	GO:0005524(ATP binding);GO:0003919(FMN adenylyltransferase activity)	ko00740(Riboflavin metabolism)
FLOT1	NA	GO:0005768(endosome);GO:0016020(membrane)	NA	ko04910(Insulin signaling pathway)
FLT4	GO:0048010(vascular endothelial growth factor receptor signaling pathway)	GO:0005887(integral component of plasma membrane)	GO:0005524(ATP binding);GO:0005021(vascular endothelial growth factor-activated receptor activity)	ko04510(Focal adhesion);ko04151(PI3K-Akt signaling pathway);ko04015(Rap1 signaling pathway);ko04014(Ras signaling pathway);ko04060(Cytokine-cytokine receptor interaction)
FMO3	NA	GO:0005789(endoplasmic reticulum membrane)	GO:0050660(flavin adenine dinucleotide binding);GO:0004499(N,N-dimethylaniline monooxygenase activity);GO:0050661(NADP binding)	ko00982(Drug metabolism - cytochrome P450)
FMO5	NA	GO:0005789(endoplasmic reticulum membrane)	GO:0050660(flavin adenine dinucleotide binding);GO:0004499(N,N-dimethylaniline monooxygenase activity);GO:0050661(NADP binding)	ko00982(Drug metabolism - cytochrome P450)
FOS	GO:0006357(regulation of transcription by RNA polymerase II)	GO:0005667(transcription factor complex)	GO:0003677(DNA binding);GO:0003700(DNA-binding transcription factor activity)	ko04210(Apoptosis);ko04010(MAPK signaling pathway);ko04668(TNF signaling pathway);ko04024(cAMP signaling pathway);ko04380(Osteoclast differentiation);ko04915(Estrogen signaling pathway);ko04921(Oxytocin signaling pathway);ko04917(Prolactin signaling pathway);ko04713(Circadian entrainment);ko04662(B cell receptor signaling pathway);ko04657(IL-17 signaling pathway);ko04660(T cell receptor signaling pathway);ko04658(Th1 and Th2 cell differentiation);ko04659(Th17 cell differentiation);ko04620(Toll-like receptor signaling pathway);ko04725(Cholinergic synapse);ko04728(Dopaminergic synapse)
FOSL2	GO:0006357(regulation of transcription by RNA polymerase II)	GO:0005634(nucleus)	GO:0003677(DNA binding);GO:0003700(DNA-binding transcription factor activity)	ko04310(Wnt signaling pathway);ko04380(Osteoclast differentiation);ko04657(IL-17 signaling pathway)
FOXA2	GO:0009653(anatomical structure morphogenesis);GO:0030154(cell differentiation);GO:0006357(regulation of transcription by RNA polymerase II)	GO:0005634(nucleus)	GO:0003700(DNA-binding transcription factor activity);GO:0019904(protein domain specific binding);GO:0043565(sequence-specific DNA binding);GO:0008134(transcription factor binding);GO:0000981(DNA-binding transcription factor activity, RNA polymerase II-specific)	ko04213(Longevity regulating pathway - multiple species);ko04212(Longevity regulating pathway - worm)
FTCD	GO:0044237(cellular metabolic process)	GO:0005794(Golgi apparatus)	GO:0005542(folic acid binding);GO:0016740(transferase activity)	ko00340(Histidine metabolism);ko00670(One carbon pool by folate)
FZR1	GO:1904668(positive regulation of ubiquitin protein ligase activity)	NA	GO:0010997(anaphase-promoting complex binding);GO:0097027(ubiquitin-protein transferase activator activity)	ko04110(Cell cycle);ko04111(Cell cycle - yeast);ko04120(Ubiquitin mediated proteolysis);ko04914(Progesterone-mediated oocyte maturation)
G6PC	NA	GO:0016021(integral component of membrane)	GO:0004346(glucose-6-phosphatase activity)	ko04152(AMPK signaling pathway);ko04068(FoxO signaling pathway);ko04151(PI3K-Akt signaling pathway);ko00052(Galactose metabolism);ko00010(Glycolysis / Gluconeogenesis);ko00500(Starch and sucrose metabolism);ko04973(Carbohydrate digestion and absorption);ko04920(Adipocytokine signaling pathway);ko04922(Glucagon signaling pathway);ko04910(Insulin signaling pathway)
GABARAP	GO:0006914(autophagy);GO:0060322(head development)	GO:0005737(cytoplasm)	NA	ko04140(Autophagy - animal);ko04136(Autophagy - other eukaryotes);ko04138(Autophagy - yeast);ko04137(Mitophagy - animal);ko04139(Mitophagy - yeast);ko04371(Apelin signaling pathway);ko04068(FoxO signaling pathway);ko04212(Longevity regulating pathway - worm);ko04621(NOD-like receptor signaling pathway);ko04727(GABAergic synapse)
GABARAPL1	GO:0006914(autophagy)	GO:0005737(cytoplasm)	NA	ko04140(Autophagy - animal);ko04136(Autophagy - other eukaryotes);ko04138(Autophagy - yeast);ko04137(Mitophagy - animal);ko04139(Mitophagy - yeast);ko04371(Apelin signaling pathway);ko04068(FoxO signaling pathway);ko04212(Longevity regulating pathway - worm);ko04621(NOD-like receptor signaling pathway);ko04727(GABAergic synapse)
GABARAPL2	GO:0006914(autophagy)	GO:0005737(cytoplasm)	NA	ko04140(Autophagy - animal);ko04136(Autophagy - other eukaryotes);ko04138(Autophagy - yeast);ko04137(Mitophagy - animal);ko04139(Mitophagy - yeast);ko04371(Apelin signaling pathway);ko04068(FoxO signaling pathway);ko04212(Longevity regulating pathway - worm);ko04621(NOD-like receptor signaling pathway);ko04727(GABAergic synapse)
GADD45B	GO:0051726(regulation of cell cycle)	GO:0005634(nucleus)	NA	ko04210(Apoptosis);ko04110(Cell cycle);ko04115(p53 signaling pathway);ko04068(FoxO signaling pathway);ko04010(MAPK signaling pathway)
GALM	GO:0019318(hexose metabolic process)	NA	GO:0004034(aldose 1-epimerase activity);GO:0030246(carbohydrate binding)	ko00052(Galactose metabolism);ko00010(Glycolysis / Gluconeogenesis)
GALNT11	GO:0006486(protein glycosylation)	GO:0000139(Golgi membrane);GO:0016021(integral component of membrane)	GO:0030246(carbohydrate binding);GO:0016757(transferase activity, transferring glycosyl groups)	ko00512(Mucin type O-glycan biosynthesis)
GALNT16	GO:0006486(protein glycosylation)	GO:0000139(Golgi membrane);GO:0016021(integral component of membrane)	GO:0030246(carbohydrate binding);GO:0016757(transferase activity, transferring glycosyl groups)	ko00512(Mucin type O-glycan biosynthesis)
